activity_id,parent_id,source_id,assay_id,canonical_molecule_id,canonical_inchikey,exclusion_category,final_modeling_role,exclusion_reason,decision_provenance,molecule_survives_elsewhere,notes
ACT_25917029,PARENT0786,PMID_39023902,ASSY_CHEMBL5526934,CM00057,BRSIEENODOYPIQ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917031,PARENT0788,PMID_39023902,ASSY_CHEMBL5526934,CM00833,YQSHWHJGEOEGSR-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917032,PARENT0789,PMID_39023902,ASSY_CHEMBL5526934,CM00757,WNZLQODNRODUJT-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917033,PARENT0790,PMID_39023902,ASSY_CHEMBL5526934,CM00776,XALHTBGQGJKWOJ-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917034,PARENT0791,PMID_39023902,ASSY_CHEMBL5526934,CM00790,XJFAFGXKHOKYMG-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917035,PARENT0792,PMID_39023902,ASSY_CHEMBL5526934,CM00393,LQAAVKGXOQMQBN-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,extended,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; activity_comment='Not Determined'; excluded from quantitative modeling
ACT_25917045,PARENT0758,PMID_39023902,ASSY_CHEMBL5526936,CM00529,PMPFEXWNVQVZDW-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_25917047,PARENT0771,PMID_39023902,ASSY_CHEMBL5526936,CM00420,MGHRANXNVQQFLM-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,no,cat=PAM_functional_Gprotein; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_26030097,PARENT0794,PMID_39140069,ASSY_CHEMBL5582321,CM00161,FJECGNZZPZFVCX-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
ACT_26030191,PARENT0794,PMID_39140069,ASSY_CHEMBL5582322,CM00161,FJECGNZZPZFVCX-UHFFFAOYSA-N,not_quantitative_unresolved,not_quantitative_unresolved,non-quantitative unresolved record,,strict;extended,cat=PAM_functional_calcium; standard_type=Activity; source_kind=primary_article; no numeric endpoint value; excluded from quantitative modeling
